01,備品メンテ画面改修,8/6
01,協力会社・備品メンテ後続SQL追加,9月リリース
01,vimの復旧,
01,jt2,st3リリース
01,メッセージ変更,リリース前に！
01,備品メンテ画面改修,月曜設計
01,データクレンジング設計,
01,SKUの版を入れる,
02,マルチスレッド,100
02,スレッドローカル,
02,プロセス間通信,ソケット実装
02,concurrency実装,
02,git管理,
03,戦略製品分類変更,
03,戦略製品分類CSV,
03,データパッチ備品エリア,
04,vimfiler使い方習得,120
04,健康診断書受け取り,
04,DrSum連携ジョブ,
04,健康診断,8/19
